Y,E1,E2,E3,E4,E5,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10
8641.877547,940.9303733,1172.506341,1104.570778,1051.907405,575.3574215,0,1,1,0,0,1,0,1,1,1
10832.06633,1786.604606,917.8194008,1207.295467,1914.91394,941.990866,1,1,1,0,1,0,1,1,1,1
13176.43766,993.2191125,563.310299,1658.622534,1627.071284,1048.938599,0,1,1,0,0,1,1,1,0,1
11338.67827,1595.285998,678.8746769,1651.798199,1491.550534,887.3098278,0,1,1,0,1,1,1,1,0,0
4954.459082,1816.446903,798.7330288,1652.854815,1876.838981,1826.962879,1,1,0,1,0,0,1,1,1,1
8703.587266,1886.614259,1093.962023,513.7690117,1623.021414,970.6012683,1,1,1,0,0,0,0,0,0,1
8943.877928,759.0040382,1774.853787,1986.880096,1943.062587,1708.623666,0,0,1,0,1,1,0,1,1,1
6540.402256,1269.690741,1278.052733,1386.259177,885.5650725,1053.222353,1,1,1,1,0,0,1,1,0,1
9290.172468,825.4025386,1645.573428,1831.481168,1870.475951,1523.061536,0,1,1,0,0,0,0,1,1,1
8453.076628,1479.923644,1742.974556,1582.196609,1262.409037,1246.375738,0,1,1,0,0,1,0,0,1,1
12228.64785,861.8101855,1020.222047,1489.149224,1223.638869,1187.799224,0,1,1,0,0,1,1,1,1,1
10573.1271,1137.505158,1628.038472,1465.848982,1909.694549,1328.129316,0,1,1,1,1,1,0,1,1,1
7804.355113,705.1862093,1152.962913,1720.844074,1089.756661,958.601837,0,0,1,0,0,0,1,1,0,0
10505.81255,562.7684362,899.7658549,1398.693874,1061.752432,1054.12005,0,1,1,0,1,0,1,0,0,1
9576.585081,1915.335053,1574.71565,1319.2216,1464.960259,1405.418692,0,1,1,1,0,1,0,1,1,1
7278.805797,813.6080344,1723.966417,1129.400198,1423.281371,1723.037801,1,1,0,0,0,0,1,1,1,1
8972.14689,1272.379918,1818.508871,1654.227443,642.8690408,1744.119815,0,1,1,0,1,0,1,0,1,0
7222.341916,1131.153444,869.7576899,1792.241769,539.048355,1613.672126,1,1,1,0,1,0,0,1,0,1
11978.25659,1338.562772,1288.326475,1934.101863,1691.074409,1062.91267,0,1,1,0,1,1,1,1,1,1
9032.06599,550.8205364,1462.419053,1841.557429,747.6702889,643.9866457,0,1,1,0,0,0,0,0,1,0
7199.427811,505.168936,1188.705154,706.2796534,568.2541609,1735.107861,1,1,0,0,1,0,1,1,1,1
11108.67368,829.3114769,931.5063987,501.8518093,1355.664403,1645.717854,0,1,1,0,1,1,1,1,1,1
11488.00823,928.2568519,1916.034365,536.7636912,962.026976,1926.903754,0,1,1,0,0,1,1,1,1,1
10159.09563,970.7547962,1040.294632,1368.824847,1326.469979,570.2372441,0,1,1,1,0,1,0,1,0,1
10689.04789,1026.731254,862.0563361,1670.688212,1207.754236,1788.604086,1,1,0,1,0,1,1,1,0,1
9978.678214,1545.99849,1342.806445,1273.572361,1940.075414,595.5548731,1,1,1,0,1,0,1,0,1,1
7738.248674,1896.771373,1479.220585,530.8628894,1064.300811,708.2014722,0,1,1,1,0,0,1,1,0,1
6779.634331,1185.210963,1932.289052,1623.503108,639.0175333,1407.734188,0,1,1,0,0,1,0,1,0,1
13902.80726,1922.264333,1745.525551,995.9382711,1883.094127,1379.639181,1,1,1,1,0,1,1,1,1,1
7686.197102,1324.029849,853.6924925,1455.098387,1677.718853,1984.426329,1,1,1,0,0,0,0,1,0,1
9177.469827,781.8954746,758.120332,1222.658728,1166.096911,628.7862872,1,1,1,1,1,0,1,1,1,1
12594.4752,1019.786846,1465.902309,906.4484282,1384.059871,564.6243844,1,1,1,0,0,1,1,0,0,1
11813.83068,1913.396542,870.336776,1143.937475,1711.017697,1992.085084,0,1,1,1,1,1,1,1,0,1
11905.5165,1262.645107,703.4561363,1542.869248,961.3694989,617.8750029,1,1,1,0,1,1,1,0,1,1
6627.205058,1513.591552,1243.459573,1362.406446,663.405174,1555.993578,1,0,0,0,0,1,0,1,1,1
7827.962022,933.562665,850.8662359,700.7525681,724.2223849,1273.598677,0,1,1,1,1,0,1,0,1,1
8635.398589,910.1485484,873.8905664,1792.307574,545.1926123,1536.669434,1,1,1,0,1,1,0,1,0,1
8911.167524,1019.570097,1582.786889,1062.805129,1421.33111,1379.531836,0,1,0,0,0,1,1,0,0,0
9753.331672,1176.527141,980.569994,753.2510519,1489.58369,1324.889835,1,1,1,0,0,0,0,0,0,1
10856.82164,894.5023885,1361.88784,1561.022446,1636.263111,1948.946547,0,1,1,0,1,1,0,1,1,1
13424.01379,1795.88711,1203.910345,1611.987741,1293.411704,650.9905312,0,1,1,1,0,1,1,0,1,1
8844.31135,1772.435001,1728.046398,1236.413528,1217.096872,1624.277686,0,1,0,0,0,0,1,1,1,1
13657.12466,987.9720698,1395.876952,862.3089468,542.6527465,1280.983984,1,1,1,1,1,1,1,0,0,0
8613.977569,1993.081606,1523.57536,1085.688463,1004.223854,1074.080551,1,1,0,1,1,0,1,0,1,1
